id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
1, Adana , Resit,01/02/2008,   Tespit Edilemeyen  ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2008
2, Adana ,,01/12/2008,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2008
3, Adana , Resit Degil , 01/02/2008 ,   Yok ,Tespit Edilemeyen,,Babasi,,Darp,,, Tutuklu ,2008
4, Adana ,, 01/04/2008 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,, Intihar ,2008
5, Ankara ,, 01/12/2008 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2008
6, Ankara , Resit Degil  , 02/03/2008 ,   Yok ,Namus,,Babasi,,Atesli Silah,,, Tutuklu ,2008
7, Antalya , Resit, 03/02/2008 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2008
8, Balikesir , Resit Degil , 03/11/2008 ,   Yok ,Reddedilme,,Annesinin Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2008
9, Batman ,, 04/02/2008 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2008
10, Batman ,, 04/02/2008 ,   Yok ,Arkadaslariyla Mesajlasma,,Abisi,,Darp,Elektrik Verme,, Tutuklu ,2008
11, Bingol , Resit , 04/03/2008 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2008
12, Bursa ,, 04/09/2008 ,   Yok ,Ayrilik Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2008
13, Bursa , Resit , 05/02/2008 ,   Yok ,Tespit Edilemeyen,,Damadi,,Bogulma,Darp,, Tutuklu ,2008
14, Bursa ,, 05/02/2008 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Intihar ,2008
15, Diyarbakir , Resit , 05/11/2008 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
16, Diyarbakir , Resit , 06/01/2008 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2008
17, Eskisehir , Resit , 07/01/2008 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
18, Gaziantep ,, 07/03/2008 ,   Yok ,Tespit Edilemeyen,,Kuzeni,,Atesli Silah,,, Araniyor ,2008
19, Gaziantep , Resit, 07/05/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tespit Edilemeyen,2008
20, Igdir , Resit , 08/02/2008 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Intihar ,2008
21, Igdir , Resit , 08/02/2008 ,   Yok ,Namus,,Erkek Kardesi,,Atesli Silah,,, Tutuklu ,2008
22, Igdir ,, 08/03/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2008
23, Istanbul , Resit , 08/07/2008 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
24, Istanbul , Resit , 08/12/2008 ,   Yok ,Reddedilme,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2008
25, Istanbul , Resit , 09/01/2008 ,   Yok ,Ayrilik Talebi,,Eski Nisanlisi,,Kesici Alet,,, Araniyor ,2008
26, Istanbul , Tespit Edilemeyen, 09/11/2008 ,   Tespit Edilemeyen,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
27, Istanbul ,, 10/01/2008 ,   Tespit Edilemeyen ,Bosanma,,Damadi,,Atesli Silah,,,,2008
28, Istanbul , Resit , 10/07/2008 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2008
29, Kirsehir , Resit , 13/05/2008 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2008
30, Mersin , Resit , 15/04/2008 ,   Yok ,Kaza,,Akrabasi,,Atesli Silah,,, Tutuklu ,2008
31, Samsun , Resit , 16/11/2008 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
32, Sinop ,, 17/05/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2008
33,,, 18/07/2008 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,,,2008
34,,, 19/02/2008 ,   Yok ,Tespit Edilemeyen,,Kardesi,,Darp,,,,2008
35,,, 19/05/2008 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2008
36,,, 19/07/2008 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Kesici Alet,,,,2008
37,,, 19/11/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,,,2008
38,,, 19/12/2008 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2008
39,,, 19/12/2008 ,   Yok ,Kiskanclik,,Sevgilisinin Oglu,,Atesli Silah,,,,2008
40,,, 20/11/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2008
41,,, 21/12/2008 ,   Yok  ,Nefret,,Tanidigi Birisi,,Iskence,,,,2008
42,,, 22/12/2008 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,,,2008
43,,, 23/06/2008 ,   Yok ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2008
44,,, 23/09/2008 ,   Yok ,Reddedilme,,Sevgilisi,,Kesici Alet,,,,2008
45,,, 23/12/2008 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Bogulma,,,,2008
46,,, 24/02/2008 ,   Yok ,Barisma Talebi,,Eski Kocasi,,Kesici Alet,,,,2008
47,,, 24/06/2008 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,,,2008
48,,, 24/07/2008 ,   Yok ,Ayrilik,,Eski Sevgilisi,,Bogulma,,,,2008
49,,, 25/07/2008 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2008
50,,, 25/09/2008 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Kesici Alet,,,,2008
51,,, 26/03/2008 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2008
52,,, 26/04/2008 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2008
53,,, 27/01/2008 ,   Var,Tartisma,,Annesinin Sevgilisi,,Kesici Alet,,,,2008
54,,, 27/03/2008 ,   Tespit Edilemeyen ,Kriz ve Issizlik,,Babasi,,Atesli Silah,,,,2008
55,,, 27/06/2008 ,   Var ,Siddet,,Kocasi,,Kesici Alet,,,,2008
56,,, 27/07/2008 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,,,2008
57,,, 27/09/2008 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,,,2008
58,,, 27/09/2008 ,   Yok ,Terk Edilme,,Kocasi,,Atesli Silah,,,,2008
59,,, 28/03/2008 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Kesici Alet,,,,2008
60,,, 28/12/2008 ,   Yok ,Ruyasinda soyundugunu gordugu icin,,Babasi,,Bogulma,,, Tutuklu,2008
61,,, 29/03/2008 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2008
62,,, 29/05/2008 ,   Yok ,Kizini Korurken,,Kocasi,,Atesli Silah,,,,2008
63,,, 31/01/2008 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Darp,,,,2008
64,,, 31/05/2008 ,   Tespit Edilemeyen,Kiskanclik,,Sevgilisi,,Atesli Silah,,,,2008
65,,, 31/12/2008 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2008
66, Adana , Resit , 01/01/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2009
67, Adana ,, 01/03/2009 ,   Yok ,Tartisma,,Kocasi,,Darp,,, Tutuklu ,2009
68, Adiyaman , Resit , 01/05/2009 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2009
69, Afyonkarahisar , Resit , 01/06/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Yakilma,,, Tutuklu ,2009
70, Afyonkarahisar , Resit , 01/08/2009 ,   Yok ,Tespit Edilemeyen,,Abisi,,Atesli Silah,,, Tutuklu ,2009
71, Agri , Resit , 01/08/2009 ,   Yok ,Annesini Korurken,,Babasi,,Atesli Silah,,, Tutuklu ,2009
72, Agri ,, 01/08/2009 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2009
73, Agri , Resit , 01/08/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2009
74, Antalya , Resit , 01/10/2009 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2009
75, Ankara , Resit , 02/04/2009 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2009
76, Ankara , Resit , 02/06/2009 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2009
77, Ankara ,, 02/06/2009 ,   Yok ,Tartisma,,Eski Sevgilisi,,Atesli Silah,,, Intihar ,2009
78, Ankara , Resit , 02/08/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2009
79, Antalya , Resit , 02/10/2009 ,   Yok ,Tartisma,Kiz kardesini korumaya calisirken,Enistesi,,Kesici Alet,,, Tutuklu ,2009
80, Antalya , Resit , 02/10/2009 ,   Yok ,Tespit Edilemeyen,,Arkadasi,,Darp,,, Intihar ,2009
81, Antalya ,, 02/12/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2009
82, Antalya , Tespit Edilemeyen , 02/12/2009 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2009
83, Antalya , Resit , 03/01/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Bogulma,,, Tutuklu ,2009
84, Antalya , Resit , 03/02/2009 ,   Yok ,Tartisma,,Kocasinin Kardesi,,Bogulma,,, Tutuklu ,2009
85, Antalya ,, 03/03/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2009
86, Antalya ,, 03/04/2009 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Araniyor ,2009
87, Balikesir , Resit , 03/11/2009 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2009
88, Bartin ,, 04/01/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2009
89, Bursa ,, 04/07/2009 ,   Var ,Bosanma Talebi,,Kocasi,,Kesici Alet,Atesli Silah,, Intihar ,2009
90, Bursa , Resit , 04/08/2009 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2009
91, Diyarbakir , Resit , 05/10/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,,Tespit Edilemeyen,2009
92, Diyarbakir , Resit , 06/02/2009 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2009
93, Duzce ,, 06/04/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Sorusturma Suruyor ,2009
94, Elazig ,, 06/07/2009 ,   Yok ,Kaza,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2009
95, Elazig , Resit Degil, 06/08/2009 ,   Var ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,,,2009
96, Erzurum , Resit , 06/11/2009 ,   Yok ,Reddedilme,,Kocasi,,Atesli Silah,,, Tutuklu ,2009
97, Erzurum , Resit , 06/11/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2009
98, Hakkari , Resit , 07/11/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2009
99, Istanbul , Resit , 08/09/2009 ,   Yok ,Tehdit,,Kocasi,,Yuksekten Dusme,,, Tutuklu ,2009
100, Istanbul , Resit , 08/10/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,, Intihar ,2009
101, Istanbul ,, 09/07/2009 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,Darp,, Tutuklu ,2009
102, Istanbul ,, 09/08/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Darp,Bogulma,, Tutuklu ,2009
103, Istanbul ,, 09/10/2009 ,   Yok ,Tartisma,,Sevgilisi,,Darp,,, Tutuklu ,2009
104, Istanbul ,, 09/12/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2009
105, Istanbul ,, 10/11/2009 ,   Yok ,Kaza,,Kocasi,,Atesli Silah,,, Tutuklu ,2009
106, Istanbul , Resit , 10/12/2009 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2009
107, Izmir , Resit , 11/02/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Araniyor ,2009
108, Izmir ,, 11/03/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yakilma,,, Tespit Edilemeyen,2009
109, Izmir ,, 11/05/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2009
110, Izmir ,, 11/06/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2009
111, Izmir , Resit , 11/12/2009 ,   Yok ,Husumet,,Akrabasi,,Atesli Silah,,, Tutuklu ,2009
112, Izmir , Resit , 12/01/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2009
113, Kahramanmaras , Resit , 12/03/2009 ,   Yok ,Tartisma,,Oglu,,Atesli Silah,,, Tutuklu ,2009
114, Kahramanmaras ,, 12/03/2009 ,   Yok ,Tartisma,,Abisi,,Atesli Silah,,, Intihar ,2009
115,Antalya,, 12/10/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2009
116, Kastomonu , Resit , 12/11/2009 ,   Yok ,Para,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2009
117, Kastomonu , Resit , 12/11/2009 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2009
118, Kayseri ,, 13/01/2009 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Intihar ,2009
119, Kilis , Resit , 13/02/2009 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2009
120, Kirikkale , Resit , 13/02/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2009
121, Kirsehir , Resit , 13/05/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2009
122, Kocaeli , Resit , 13/07/2009 ,   Yok ,Kiskanclik,,Kocasi,,Darp,Bogulma,, Tutuklu ,2009
123, Malatya , Resit , 14/09/2009 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,, Tutuklu ,2009
124, Mardin , Resit , 15/02/2009 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2009
125, Mersin ,, 15/07/2009 ,   Yok ,Tartisma,,Kayinbiraderi,,Kesici Alet,,, Kacak ,2009
126, Mersin , Resit , 15/09/2009 ,   Yok ,Tespit Edilemeyen,,Kardesi,,Atesli Silah,,, Tutuklu ,2009
127, Mugla ,, 15/10/2009 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2009
128, Nigde , Resit , 16/02/2009 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Araniyor ,2009
129,Mardin, Resit , 16/02/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2009
130, Osmaniye , Resit , 16/05/2009 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2009
131, Samsun ,, 16/11/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2009
132, Sanliurfa , Resit , 17/01/2009 ,   Yok ,Husumet,,Akrabasi,,Atesli Silah,,, Tutuklu ,2009
133, Tekirdag , Resit , 17/08/2009 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2009
134, Tokat , Resit , 17/10/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2009
135, Zonguldak ,, 18/05/2009 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2009
136,,, 19/07/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2009
137,,, 19/07/2009 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Kesici Alet,,,,2009
138,,, 19/11/2009 ,   Var,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,,,2009
139,,, 19/12/2009 ,   Yok ,Tespit Edilemeyen,,Dini Nikahli Esi,,Bogulma,,,,2009
140,,, 19/12/2009 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2009
141,,, 20/01/2009 ,   Tespit Edilemeyen ,Kriz ve Issizlik,,Kocasi,,Atesli Silah,,,,2009
142,,, 20/03/2009 ,   Var ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,,,2009
143,,, 20/03/2009 ,   Yok ,Tespit Edilemeyen,,Nisanlisi,,Atesli Silah,,,,2009
144,,, 20/04/2009 ,   Yok ,Tespit Edilemeyen,,Torunu,,Tespit Edilemeyen,,,,2009
145,,, 20/05/2009 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Babasi,,Bogulma,,,,2009
146,,, 20/07/2009 ,   Yok ,Evlenme Talebi,,Sevgilisi,,Kesici Alet,,,,2009
147,,, 21/05/2009 ,   Yok ,Tartisma,,Erkek Kardesi,,Kesici Alet,,,,2009
148,,, 21/10/2009 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2009
149,,, 21/10/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,,,2009
150,,, 22/02/2009 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2009
151,,, 22/05/2009 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Yuksekten Dusme,,,,2009
152,,, 22/12/2009 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2009
153,,, 22/12/2009 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2009
154,,, 23/02/2009 ,    Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2009
155,,, 23/03/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2009
156,,, 23/04/2009 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2009
157,,, 23/04/2009 ,   Yok ,Intikam,,Tanimadigi Birisi,,Atesli Silah,,,,2009
158,,, 23/05/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2009
159,,, 23/05/2009 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tanimadigi Birisi,,Kesici Alet,,,,2009
160,,, 23/09/2009 ,   Yok ,Tespit Edilemeyen,,Eski Nisanlisi,,Atesli Silah,,,,2009
161,,, 24/01/2009 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2009
162,,, 24/02/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2009
163,,, 25/05/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Delici Alet,,,,2009
164,,, 25/07/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,,2009
165,,, 26/07/2009 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,,,2009
166,,, 26/09/2009 ,   Yok ,Aldatilma Suphesi,,Sevgilisi,,Darp,,,,2009
167,,, 26/10/2009 ,   Var ,Ayrilik,,Akrabasi,,Atesli Silah,,,,2009
168,,, 26/10/2009 ,   Yok ,Tespit Edilemeyen,,Kocasinin Erkek Kardesi,,Kesici Alet,,,,2009
169,,, 26/11/2009 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,,,2009
170,,, 26/11/2009 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Kesici Alet,,,,2009
171,,, 26/12/2009 ,   Yok ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2009
172,,, 26/12/2009 ,   Tespit Edilemeyen ,Sevgilisinin Olmasi,,Erkek Kardesi,,Kesici Alet,,,,2009
173,,, 27/01/2009 ,   Yok ,Kiz Kacirma,,Tanidigi Birisi,,Atesli Silah,,,,2009
174,,, 27/04/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2009
175,,, 27/07/2009 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2009
176,,, 27/10/2009 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Bogulma,,,,2009
177,,, 27/10/2009 ,   Yok ,Tartisma,,Nisanlisi,,Kesici Alet,,,,2009
178,,, 28/04/2009 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Kesici Alet,,,,2009
179,,, 28/07/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2009
180,,, 28/12/2009 ,   Var ,Tespit Edilemeyen,,Eski Kocasi,,Kesici Alet,,,,2009
181,,, 28/12/2009 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Bogulma,,,,2009
182,,, 29/04/2009 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,,,2009
183,,, 30/05/2009 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Babasi,,Kesici Alet,,,,2009
184,,, 30/07/2009 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2009
185,,, 30/09/2009 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,,,2009
186,,, 30/09/2009 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2009
187,,, 30/12/2009 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Darp,,,,2009
188, Adana ,,01/01/2010,   Yok ,Reddedilme,,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2010
189, Adana ,Resit,26/07/2010,   Tespit Edilemeyen ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2010
190, Adana , Resit ,04/09/2010,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,Darp,, Tutuklu ,2010
191, Adana , Resit,01/11/2010,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2010
192, Sakarya , Resit , 01/04/2010 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2010
193, Sakarya , Resit , 01/04/2010 ,   Yok ,Tartisma,,Babasi,,Tespit Edilemeyen,,, Tutuklu ,2010
194, Sakarya , Resit , 01/04/2010 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,, Tutuklu ,2010
195, Sakarya , Resit , 01/04/2010 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Intihar ,2010
196, Adiyaman , Resit , 01/04/2010 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,, Intihar ,2010
197, Adiyaman , Resit , 01/04/2010 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2010
198, Afyonkarahisar , Resit , 01/06/2010 ,   Yok ,Tespit Edilemeyen,,Abisi,,Atesli Silah,,, Tutuklu ,2010
199, Agri ,, 01/08/2010 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2010
200, Antalya , Resit , 01/10/2010 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Sorusturma Suruyor ,2010
201, Antalya ,, 03/04/2010 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2010
202, Aydin ,, 03/06/2010 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Kacak ,2010
203, Aydin , Resit , 03/06/2010 ,   Yok ,Tartisma,,Sevgilisi,,Darp,Yakilma,, Tutuklu ,2010
204, Aydin , Resit , 03/08/2010 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2010
205, Bolu ,, 04/05/2010 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kaza,,, Tespit Edilemeyen,2010
206, Bursa ,, 04/08/2010 ,   Yok ,Tartisma,,Tespit Edilemeyen,,Kesici Alet,,, Tutuklu ,2010
207, Bursa , Resit , 04/08/2010 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2010
208, Bursa ,, 04/10/2010 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Intihar ,2010
209, Bursa , Tespit Edilemeyen , 04/10/2010 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruuor,2010
210, Bursa ,, 05/01/2010 ,   Yok ,Tartisma,,Erkek Kardesi,,Atesli Silah,,, Tutuklu ,2010
211, Bursa  , Resit , 05/02/2010 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2010
212, Bursa  , Resit , 05/02/2010 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2010
213, Corlu , Resit , 05/03/2010 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2010
214, Corum , Resit , 05/03/2010 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,, Araniyor ,2010
215, Corum , Resit , 05/04/2010 ,   Yok ,Tartisma,,Kocasi,,Darp,,, Tutuklu ,2010
216, Denizli , Resit , 05/05/2010 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2010
