id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2808,Manisa,Resit,26/04/2020,Yok,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2809,Mardin,Resit Degil,23/04/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,Tespit Edilemeyen,2020
2810,Istanbul,Resit,06/06/2020,Yok,Tespit Edilemeyen,,,,Atesli Silah,,,,2020
2811,Istanbul,Resit,08/06/2020,Yok,Tartisma,,,,Atesli Silah,,,Tutuklu,2020
2812,Samsun,Resit,30/04/2020,Yok,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2813,Izmir,Resit,10/04/2020,Yok,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,,Tutuklu,2020
2814,Konya,Resit,06/06/2020,Yok,Kiskanclik,,Sevgilisi,,Atesli Silah,,,Tutuklu,2020
2815,Izmir,Resit,07/07/2020,Yok,Tartisma,,Kocasi,,Kesici Alet,,,Tutuklu,2020
2816,Agri,Resit,05/04/2020,Yok,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2817,Sivas,Resit,08/05/2020,Yok,Tartisma,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2818,Istanbul,Resit,05/06/2020,Yok,Reddedilme,,Tanidigi Birisi,,Kesici Alet,,,Tutuklu,2020
2819,Istanbul,Resit,13/05/2020,Yok,Tespit Edilemeyen,,Damadi,,Tespit Edilemeyen,,,Tutuklu,2020
2820,Istanbul,Resit,15/05/2020,Yok,Tartisma,,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2020
2821,Ankara,Resit,06/06/2020,Yok,Tartisma,,Tespit Edilemeyen,,Atesli Silah,,,Tespit Edilemeyen,2020
2822,Manisa,Resit,28/05/2020,Yok,Aldatilma Suphesi,,Sevgilisi,,Atesli Silah,,,Tutuklu,2020
2823,Istanbul,Resit,18/05/2020,Yok,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2824,Canakkale,Resit,18/05/2020,Yok,Tartisma,Bosanma Talebi,Kocasi,,Kesici Alet,,,Tutuklu,2020
2825,Edirne,Resit,26/05/2020,Yok,Tespit Edilemeyen,,Oglu,,Darp,,,Tutuklu,2020
2826,Sirnak,Resit,15/06/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2827,Kars,Resit,20/05/2020,Yok,Tartisma,Husumet,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2828,Mugla,Resit,24/05/2020,Yok,Tartisma,,Sevgilisi,,Darp,Kesici Alet,,Tutuklu,2020
2829,Manisa,Resit,22/05/2020,Yok,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,,Tespit Edilemeyen,2020
2830,Ankara,Resit,23/05/2020,Yok,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2831,Erzurum,Resit,10/05/2020,Yok,Kiskanclik,,Akrabasi,,Atesli Silah,,,Tutuklu,2020
2832,Istanbul,Resit,17/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,,Tespit Edilemeyen,2020
2833,Canakkale,Resit,17/05/2020,Yok,Tartisma,Bosanma Talebi,Kocasi,,Kesici Alet,,,Tutuklu,2020
2834,Isparta,Resit,23/05/2020,Yok,Tartisma,,Oglu,,Kesici Alet,,,Tutuklu,2020
2835,Bursa,Resit Degil,25/05/2020,Yok,Kaza,Terk Edilme,Tespit Edilemeyen,,Araba Kazasi,,,Tespit Edilemeyen,2020
2836,Istanbul,Resit,18/05/2020,Yok,Tartisma,,Tanidgi Birisi,,Atesli Silah,,,Tespit Edilemeyen,2020
2837,Istanbul,Resit,15/05/2020,Yok,Tartisma,,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2020
2838,Bartin,Resit,25/05/2020,Yok,Tartisma,,Komsusu,,Atesli Silah,,,Tutuklu,2020
2839,Diyarbakir,Resit,30/05/2020,Yok,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tespit Edilemeyen,2020
2840,Sivas,Resit,08/05/2020,Yok,Tartisma,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2841,Istanbul,Resit,05/05/2020,Yok,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,,Intihar,2020
2842,Rize,Resit,30/05/2020,Yok,Tartisma,,Kocasi,,Kesici Alet,,,Tutuklu,2020
2843,Mersin,Resit,30/05/2020,Yok,Kaza,,Tespit Edilemeyen,,Atesli Silah,,,Tespit Edilemeyen,2020
2844,Aydin,Resit,09/04/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,Tespit Edilemeyen,2020
2845,Rize,Resit,03/05/2020,Yok,Tartisma,,Akrabasi,,Atesli Silah,,,Tespit Edilemeyen,2020
2846,Rize,Resit,03/05/2020,Yok,Tartisma,,Akrabasi,,Atesli Silah,,,Tespit Edilemeyen,2020
2847,Tunceli,Resit,08/04/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
